year,car_rsst
1979,0.5505082
1980,0.4931053
1981,1.0671997
1982,-0.31150457
1983,0.13986771
1984,0.72567004
1985,1.1076436
1986,0.44482866
1987,-0.33432567
1988,2.1738057
1989,0.70338154
1990,0.08055055
1991,-0.3094009
1992,-0.4619661
1993,-0.15387933
1994,-0.018258002
1995,0.7183413
1996,0.39169538
1997,-0.73828477
1998,1.1481726
1999,1.5341122
2000,0.8808502
2001,0.3947226
2002,-0.27998394
2003,0.69106644
2004,0.0010869768
2005,0.97688663
2006,0.60291266
2007,1.2353358
2008,0.875582
2009,0.052073136
2010,1.6479865
2011,0.9959462
2012,0.5497041
2013,0.6178703
2014,0.46967158
2015,-0.5410071
2016,1.2517556
2017,0.49704954
2018,0.5143457
2019,0.16874102
2020,1.4825164
2021,1.0449128
2022,1.4248614
2023,0.4991844
2024,1.4515023
