time,car_prcp
1979-01-01,1.125027
1979-02-01,1.2576077
1979-03-01,1.8500324
1979-04-01,4.1213155
1979-05-01,5.0558615
1979-06-01,7.571743
1979-07-01,5.753253
1979-08-01,6.109526
1979-09-01,8.025084
1979-10-01,6.539405
1979-11-01,5.3273783
1979-12-01,3.0965152
1980-01-01,1.8928983
1980-02-01,1.2116001
1980-03-01,0.871331
1980-04-01,2.5419507
1980-05-01,5.475448
1980-06-01,5.9132686
1980-07-01,5.554303
1980-08-01,5.587538
1980-09-01,6.127236
1980-10-01,5.696413
1980-11-01,4.9559827
1980-12-01,3.2708483
1981-01-01,1.451019
1981-02-01,2.1541333
1981-03-01,1.6757357
1981-04-01,4.3588996
1981-05-01,6.1165648
1981-06-01,7.179754
1981-07-01,5.623135
1981-08-01,6.521813
1981-09-01,5.56723
1981-10-01,5.9444036
1981-11-01,4.652491
1981-12-01,3.683295
1982-01-01,1.9597491
1982-02-01,1.8859086
1982-03-01,1.3089556
1982-04-01,3.11424
1982-05-01,7.2105756
1982-06-01,5.8170905
1982-07-01,5.866155
1982-08-01,4.4264784
1982-09-01,6.3405194
1982-10-01,5.3839827
1982-11-01,3.2627888
1982-12-01,2.463834
1983-01-01,1.7683463
1983-02-01,1.7340883
1983-03-01,1.6481607
1983-04-01,2.81461
1983-05-01,4.7153535
1983-06-01,5.8219795
1983-07-01,6.2120275
1983-08-01,5.7284446
1983-09-01,6.1470175
1983-10-01,6.2557974
1983-11-01,3.6942089
1983-12-01,3.0642002
1984-01-01,2.031046
1984-02-01,2.4454598
1984-03-01,1.2887071
1984-04-01,1.9126352
1984-05-01,4.296161
1984-06-01,5.915112
1984-07-01,6.3032966
1984-08-01,5.6920295
1984-09-01,6.901296
1984-10-01,5.5676064
1984-11-01,4.918765
1984-12-01,2.0255263
1985-01-01,1.2538294
1985-02-01,1.3369796
1985-03-01,1.2050413
1985-04-01,2.2531986
1985-05-01,3.7838178
1985-06-01,4.9874244
1985-07-01,5.175892
1985-08-01,5.776496
1985-09-01,5.293227
1985-10-01,6.695923
1985-11-01,4.0401053
1985-12-01,2.7207549
1986-01-01,1.6183279
1986-02-01,1.1194416
1986-03-01,1.3988979
1986-04-01,2.4022784
1986-05-01,5.815754
1986-06-01,6.0552926
1986-07-01,4.5591893
1986-08-01,5.2678413
1986-09-01,5.488752
1986-10-01,5.707338
1986-11-01,3.726575
1986-12-01,2.0228913
1987-01-01,1.2410938
1987-02-01,1.0180407
1987-03-01,1.7325453
1987-04-01,2.940987
1987-05-01,5.1909447
1987-06-01,5.9132624
1987-07-01,7.172431
1987-08-01,5.203496
1987-09-01,5.294798
1987-10-01,6.7992277
1987-11-01,4.5157194
1987-12-01,2.522191
1988-01-01,1.8935426
1988-02-01,1.4516484
1988-03-01,1.0415386
1988-04-01,2.008875
1988-05-01,3.99603
1988-06-01,5.9770956
1988-07-01,5.962156
1988-08-01,7.388511
1988-09-01,7.5355234
1988-10-01,6.484088
1988-11-01,4.877628
1988-12-01,3.0485728
1989-01-01,1.7477312
1989-02-01,1.6710007
1989-03-01,1.5032527
1989-04-01,1.5881205
1989-05-01,3.998055
1989-06-01,4.5840116
1989-07-01,5.112237
1989-08-01,5.0297008
1989-09-01,6.9150796
1989-10-01,4.587584
1989-11-01,4.4378242
1989-12-01,2.7526698
1990-01-01,1.80575
1990-02-01,1.3837427
1990-03-01,1.6502044
1990-04-01,2.5006416
1990-05-01,5.3371253
1990-06-01,5.3154254
1990-07-01,4.797776
1990-08-01,4.9047275
1990-09-01,4.698952
1990-10-01,6.30887
1990-11-01,5.149897
1990-12-01,3.0586896
1991-01-01,1.5035018
1991-02-01,1.2300203
1991-03-01,1.4409962
1991-04-01,2.1644337
1991-05-01,4.302879
1991-06-01,4.475869
1991-07-01,4.575176
1991-08-01,4.732392
1991-09-01,5.221869
1991-10-01,4.3112435
1991-11-01,4.6462708
1991-12-01,2.3852773
1992-01-01,1.112704
1992-02-01,1.1130521
1992-03-01,0.8844618
1992-04-01,2.540428
1992-05-01,5.2728868
1992-06-01,5.5841613
1992-07-01,5.9905066
1992-08-01,5.0419087
1992-09-01,5.993914
1992-10-01,4.4982004
1992-11-01,3.8614302
1992-12-01,2.2892532
1993-01-01,2.3385806
1993-02-01,0.9318572
1993-03-01,1.8177942
1993-04-01,2.770848
1993-05-01,7.076252
1993-06-01,6.570527
1993-07-01,4.8620887
1993-08-01,5.3376093
1993-09-01,6.087415
1993-10-01,4.5638857
1993-11-01,4.571219
1993-12-01,2.264628
1994-01-01,1.5546942
1994-02-01,1.0707963
1994-03-01,1.4310434
1994-04-01,2.413561
1994-05-01,4.2197576
1994-06-01,4.28014
1994-07-01,4.6240993
1994-08-01,5.542234
1994-09-01,6.091379
1994-10-01,4.4785447
1994-11-01,5.199587
1994-12-01,1.7016792
1995-01-01,1.101934
1995-02-01,0.93719
1995-03-01,1.7056164
1995-04-01,2.5230198
1995-05-01,3.8904455
1995-06-01,6.198127
1995-07-01,6.4907436
