time,car_sst
1979-01-01,26.63802
1979-02-01,26.55552
1979-03-01,26.503979
1979-04-01,26.836018
1979-05-01,27.65146
1979-06-01,28.04332
1979-07-01,28.263905
1979-08-01,28.447641
1979-09-01,28.46083
1979-10-01,28.573597
1979-11-01,28.074287
1979-12-01,27.420092
1980-01-01,26.743626
1980-02-01,26.522196
1980-03-01,26.492931
1980-04-01,27.03692
1980-05-01,28.070547
1980-06-01,28.388964
1980-07-01,28.51837
1980-08-01,28.668406
1980-09-01,28.741877
1980-10-01,28.633799
1980-11-01,28.14918
1980-12-01,27.343637
1981-01-01,26.595322
1981-02-01,26.55505
1981-03-01,26.744284
1981-04-01,27.08434
1981-05-01,27.952148
1981-06-01,28.123594
1981-07-01,28.516323
1981-08-01,28.545338
1981-09-01,28.794662
1981-10-01,28.508736
1981-11-01,28.036234
1981-12-01,27.320213
1982-01-01,26.71608
1982-02-01,26.572369
1982-03-01,26.704184
1982-04-01,27.257269
1982-05-01,27.612228
1982-06-01,27.96801
1982-07-01,28.145088
1982-08-01,28.37461
1982-09-01,28.4932
1982-10-01,28.433666
1982-11-01,27.909595
1982-12-01,27.234737
1983-01-01,26.834091
1983-02-01,26.722416
1983-03-01,26.968105
1983-04-01,27.411674
1983-05-01,28.073229
1983-06-01,28.693401
1983-07-01,28.77182
1983-08-01,28.913109
1983-09-01,28.818073
1983-10-01,28.655901
1983-11-01,28.28624
1983-12-01,27.581528
1984-01-01,26.907904
1984-02-01,26.616152
1984-03-01,26.697325
1984-04-01,27.109577
1984-05-01,27.5189
1984-06-01,27.681925
1984-07-01,27.8237
1984-08-01,27.95834
1984-09-01,28.154951
1984-10-01,28.149906
1984-11-01,27.552668
1984-12-01,26.828804
1985-01-01,26.20142
1985-02-01,25.963236
1985-03-01,26.08364
1985-04-01,26.56242
1985-05-01,27.488752
1985-06-01,27.940779
1985-07-01,28.109898
1985-08-01,28.355272
1985-09-01,28.501726
1985-10-01,28.177483
1985-11-01,27.623583
1985-12-01,26.949545
1986-01-01,26.263996
1986-02-01,26.225813
1986-03-01,26.214983
1986-04-01,26.755976
1986-05-01,27.574442
1986-06-01,27.815182
1986-07-01,28.076498
1986-08-01,28.337559
1986-09-01,28.295887
1986-10-01,28.129686
1986-11-01,27.85796
1986-12-01,27.235535
1987-01-01,26.597527
1987-02-01,26.485659
1987-03-01,26.84212
1987-04-01,27.294134
1987-05-01,27.971432
1987-06-01,28.513685
1987-07-01,28.588737
1987-08-01,28.857206
1987-09-01,29.147112
1987-10-01,28.864796
1987-11-01,28.467213
1987-12-01,27.848248
1988-01-01,26.995539
1988-02-01,26.581745
1988-03-01,26.596336
1988-04-01,27.042542
1988-05-01,27.877728
1988-06-01,28.30856
1988-07-01,28.479965
1988-08-01,28.52441
1988-09-01,28.389906
1988-10-01,28.267452
1988-11-01,27.866682
