time,sst_thresh
1979-01-01,25.93
1980-01-01,26.29
1981-01-01,25.29
1982-01-01,25.67
1983-01-01,25.91
1984-01-01,25.99
1985-01-01,26.27
1986-01-01,25.34
1987-01-01,26.14
1988-01-01,26.82
1989-01-01,27.08
1990-01-01,26.34
1991-01-01,26.59
1992-01-01,25.49
1993-01-01,25.71
1994-01-01,26.07
1995-01-01,26.75
1996-01-01,26.41
1997-01-01,26.71
1998-01-01,26.12
1999-01-01,26.42
2000-01-01,26.22
2001-01-01,27.08
2002-01-01,26.24
2003-01-01,26.48
2004-01-01,25.72
2005-01-01,26.66
2006-01-01,26.79
2007-01-01,26.01
2008-01-01,26.73
2009-01-01,27.33
2010-01-01,26.93
2011-01-01,26.13
2012-01-01,25.87
2013-01-01,26.29
2014-01-01,26.46
2015-01-01,26.45
2016-01-01,26.25
2017-01-01,26.39
2018-01-01,26.02
2019-01-01,26.76
2020-01-01,27.17
2021-01-01,26.6
2022-01-01,26.85
2023-01-01,26.86
2024-01-01,27.26
